perm_idx,trial_idx,mass,thrust_scale,apogee,max_mach,landing_x,landing_y
0,0,32.0,0.4,551.0927402284701,0.24773417184218582,-52.22123553016747,80.71485409143767
1,0,32.0,0.55,1041.1656403743061,0.37986193659818646,-74.82638289891425,116.25540269778749
2,0,32.0,0.7,1604.7024562061258,0.5103308675345902,-88.02722805842113,151.86345255012245
3,0,32.0,0.85,2178.2373245725835,0.635631519411953,-77.2402821356861,166.25585406623748
4,0,32.0,1.0,2731.460181768394,0.755745982976019,-82.15292055678141,164.46384287540982
5,0,34.5,0.4,471.58325213524273,0.2227249519565128,-42.177999141862955,63.748829475963035
6,0,34.5,0.55,915.513854003799,0.3465218326087361,-72.40209161842347,112.81750167512533
7,0,34.5,0.7,1438.942289990874,0.46938891216281675,-80.21238231395263,142.88653060028346
8,0,34.5,0.85,1991.1311779636992,0.588542297508762,-89.18018926673398,163.50637563169045
9,0,34.5,1.0,2537.9679604836256,0.7034655037407076,-76.88504377966555,166.8577163170413
10,0,37.0,0.4,404.5578301415257,0.20073798568579168,-38.37589615219745,58.313111217473896
11,0,37.0,0.55,806.8447694271209,0.3172129394773025,-70.90695980900901,105.77275011616065
12,0,37.0,0.7,1286.7978605213586,0.4327280846414489,-89.9360925117588,139.41466584127605
13,0,37.0,0.85,1815.212347817098,0.5463757629397081,-96.14682351116042,165.8427278241904
14,0,37.0,1.0,2349.0006716451603,0.6563174040178198,-88.54825821845351,175.89157792066456
15,0,39.5,0.4,347.8604650859261,0.18130752159269659,-37.230028092161554,53.22137080940228
16,0,39.5,0.55,712.1154900532811,0.291210583014466,-69.6370277169162,101.7001427370401
17,0,39.5,0.7,1153.1669539377453,0.4001732999274393,-81.95082062190357,130.2892108895829
18,0,39.5,0.85,1651.8041788794217,0.5083921135108502,-94.63209126968911,164.8913508366328
19,0,39.5,1.0,2167.560847480823,0.6135070527676783,-90.29615174517765,181.80135066788569
20,0,42.0,0.4,299.87641334999853,0.16405586496424104,-33.56493163927486,49.95427376720936
21,0,42.0,0.55,630.3191325301065,0.2680579023620478,-60.65888788696537,94.29293348952498
22,0,42.0,0.7,1035.3812177439268,0.3712233998858127,-81.50576553366278,126.22517919829362
23,0,42.0,0.85,1501.67777664647,0.47407444218295214,-94.86845491065174,154.89194260406225
24,0,42.0,1.0,1995.8103358126884,0.5745804747023332,-95.7743557070119,175.77483881305184
